ano,volume,numero,titulo_artigo,autores,palavras_chave,abstract,referencias,link
2025,24,1/,A Flexible UHF RFID Respiratory Sensor,,,,,
2025,24,1/,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,,,,,
2025,24,1/,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,,,,,
2025,24,1/,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,,,,,
2025,24,1/,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,,,,,
2025,24,1/,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,,,,,
2025,24,1/,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,,,,,
2025,24,1/,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,,,,,
2025,24,1/,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,,,,,
2025,24,1/,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,,,,,
2025,24,2/,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,,,,,
2025,24,2/,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,,,,,
2025,24,2/,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,,,,,
2025,24,2/,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,,,,,
2025,24,2/,Compact Top-Loaded Quarter-Cylinder Dielectric Resonator Antenna,,,,,
2025,24,2/,A Multiband Yagi-Uda Patch Antenna with Different Orders of Koch Fractal,,,,,
2025,24,2/,Stepped-fat Dipole Antenna for TV 3.0 Design and Outdoor Tests,,,,,
2025,24,2/,SAR Estimations in a Classroom with Wireless Computers,,,,,
2025,24,2/,Microwave Brain Lesion Detection and Localization Using Classification Algorithms,,,,,
2025,24,2/,High Sensitivity Optical Sensor Based on Surface Plasmon Effect on Graphene for Detection of DMSO Concentrations,,,,,
2025,24,2/,Use of the Micro-Doppler Effect in Classifying and Differentiating Drones from Birds,,,,,
2025,24,2/,Fully Textile Inked FSS for Wearable Applications,,,,,
2025,24,1/,A Flexible UHF RFID Respiratory Sensor,,,,,
2025,24,1/,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,,,,,
2025,24,1/,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,,,,,
2025,24,1/,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,,,,,
2025,24,1/,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,,,,,
2025,24,1/,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,,,,,
2025,24,1/,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,,,,,
2025,24,1/,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,,,,,
2025,24,1/,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,,,,,
2025,24,1/,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,,,,,
2025,24,2/,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,,,,,
2025,24,2/,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,,,,,
2025,24,2/,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,,,,,
2025,24,2/,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,,,,,
2025,24,2/,Compact Top-Loaded Quarter-Cylinder Dielectric Resonator Antenna,,,,,
2025,24,2/,A Multiband Yagi-Uda Patch Antenna with Different Orders of Koch Fractal,,,,,
2025,24,2/,Stepped-fat Dipole Antenna for TV 3.0 Design and Outdoor Tests,,,,,
2025,24,2/,SAR Estimations in a Classroom with Wireless Computers,,,,,
2025,24,2/,Microwave Brain Lesion Detection and Localization Using Classification Algorithms,,,,,
2025,24,2/,High Sensitivity Optical Sensor Based on Surface Plasmon Effect on Graphene for Detection of DMSO Concentrations,,,,,
2025,24,2/,Use of the Micro-Doppler Effect in Classifying and Differentiating Drones from Birds,,,,,
2025,24,2/,Fully Textile Inked FSS for Wearable Applications,,,,,
2025,24,1/,A Flexible UHF RFID Respiratory Sensor,,,,,
2025,24,1/,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,,,,,
2025,24,1/,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,,,,,
2025,24,1/,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,,,,,
2025,24,1/,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,,,,,
2025,24,1/,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,,,,,
2025,24,1/,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,,,,,
2025,24,1/,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,,,,,
2025,24,1/,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,,,,,
2025,24,1/,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,,,,,
2025,24,2/,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,,,,,
2025,24,2/,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,,,,,
2025,24,2/,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,,,,,
2025,24,2/,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,,,,,
2025,24,2/,Compact Top-Loaded Quarter-Cylinder Dielectric Resonator Antenna,,,,,
2025,24,2/,A Multiband Yagi-Uda Patch Antenna with Different Orders of Koch Fractal,,,,,
2025,24,2/,Stepped-fat Dipole Antenna for TV 3.0 Design and Outdoor Tests,,,,,
2025,24,2/,SAR Estimations in a Classroom with Wireless Computers,,,,,
2025,24,2/,Microwave Brain Lesion Detection and Localization Using Classification Algorithms,,,,,
2025,24,2/,High Sensitivity Optical Sensor Based on Surface Plasmon Effect on Graphene for Detection of DMSO Concentrations,,,,,
2025,24,2/,Use of the Micro-Doppler Effect in Classifying and Differentiating Drones from Birds,,,,,
2025,24,2/,Fully Textile Inked FSS for Wearable Applications,,,,,
2024,23,1/,Optimization of Very Short Multi-Pump Discrete Raman Amplifiers based on Tellurite Fibers,,,,,
2024,23,1/,Wideband High-Selectivity SIW Filtering Antenna with Controllable Radiation Nulls,,,,,
2024,23,1/,New SRR/CSRR antenna dual Band-notch for WLAN and X Band Satellite communication,,,,,
2024,23,1/,A New Miniaturized Active Frequency Selective Surface with Convoluted Element for UHF Applications,,,,,
2024,23,1/,Analysis of a Modified Y-Branch CWDM Demultiplexer Based on Photonic Crystal Structure,,,,,
2024,23,1/,Use of Hidden Markov Model Technique to Characterize and Classify the Wideband Mobile Radio Channel in Different Environments,,,,,
2024,23,1/,A Compact Theory of the Symmetric Compressed-V Dipole Antenna,,,,,
2024,23,1/,Analysis and Designing of New Broadband Power Divider Using Stepped Impedance for WLAN and 5G Applications,,,,,
2024,23,1/,Capacitive Tuning of High Selective T-Shaped Band-Stop Filter: Theory and Experiment,,,,,
2024,23,1/,Artificial Intelligence Enabled Radio Propagation: Path Loss Improvement and Channel Characterization in Vegetated Environments,,,,,
2024,23,1/,An Efficient and Accurate Algorithm for Electromagnetic Wave Propagation Modeling Based on Wavelet Transforms,,,,,
2024,23,2/,Design of an Antipodal Vivaldi Antenna Using RSIW Technology,,,,,
2024,23,2/,Characterizing MIMO Channels in Low-Voltage Electric Power Line Communication Through Impedance and Scattering Parameters Analysis,,,,,
2024,23,2/,Ring Shape Microstrip Antenna Backed by Modified Ground Plane for Multiband Response in GSM and Radar Applications,,,,,
2024,23,2/,Wave Impedance Equivalent Circuit Model for Square Loop Frequency Selective Surfaces,,,,,
2024,23,2/,Nature-Inspired Frequency Selective Surface in Fibonacci Spiral with Closely Resonant Bands,,,,,
2024,23,2/,Performance Analysis of a Compact Conformal SWB Antenna for 5G and Wearable IoT Applications,,,,,
2024,23,2/,A Novel Wideband Magnetoelectric Dipole Antenna with Circular Polarization Applied to CubeSat,,,,,
2024,23,2/,Multiplexed in-Series Macro-Bend Fiber Sensors for Personal Authentication Through Foot Recognition,,,,,
2024,23,2/,Frequency Selective Surfaces as Reconfigurable Superstrate Applied to a Dipole Antenna for 5G NR,,,,,
2024,23,3/,Number of events in Monte Carlo simulations for analysis of interference between radiocommunication systems,,,,,
2024,23,3/,Carbon Dioxide Optical Sensing using Tapered and Coated LPGs and Neural Networks,,,,,
2024,23,3/,Analysis of Electromagnetic Problems in the Presence of Non-uniform Movements,,,,,
2024,23,3/,Modeling of Electrical Machines Hysteresis Losses Under Mechanical Stresses,,,,,
2024,23,3/,Demonstration of 256 QAM 10 Gbps Signal Transmission over 570 km Fiber-based NG Radio over Fiber System,,,,,
2024,23,3/,Methods of Measurements of Electromagnetic Characterization of Free Space Materials in the X-Band,,,,,
2024,23,3/,Dual-band Monopole Antenna Integrated with Frequency Selective Surface for Possible Use in Non-invasive Biomedical Applications,,,,,
2024,23,3/,Compact Dual-band Filtering Power Divider with Low Loss and High Isolation Based on Open-Circuited Stepped-impedance Resonators,,,,,
2024,23,3/,Non-Uniform Phase Synthesis for Cosecant-Squared Radiation Patterns,,,,,
2024,23,3/,A Microwave System for Measuring Relative Humidity of Hollow Concrete Blocks: A New Proposal and a Sensitivity Analysis,,,,,
2024,23,3/,ERRATUM: Characterizing MIMO Channels in Low-Voltage Electric Power Line Communication through Impedance and Scattering Parameters Analysis,,,,,
2024,23,4/,L1/E1/B1 and L5/E5a/B2a Band Dual-Polarized Microstrip Antenna for GNSS-R,,,,,
2024,23,4/,Double Sided Band-pass Frequency Selective Surface Based on Matryoshka Geometry,,,,,
2024,23,4/,A p-HEMT 920 ps True Time Delay Line Integrated Circuit for X-Band Imaging Radars,,,,,
2024,23,4/,Design and Analysis of a Hybrid Plasmonic Waveguide with Chiral Metamaterial and Graphene Interfaces,,,,,
2024,23,4/,Balanced-to-Balanced Filtering Crossover with High Isolation and CM Suppression,,,,,
2024,23,4/,Strategy for Resource Allocation in Elastic Optical Networks Considering Physical Layer Impairments and Spectrum Fragmentation,,,,,
2024,23,4/,Exploring Electromagnetic Tube Expansion Based on Field Concentrator: An Analytical Model and Numerical Study,,,,,
2024,23,4/,Outdoor Narrowband Measurements in 800 MHz Band for PPDR Private Networks,,,,,
2024,23,4/,Multidimensional analysis of 5G antenna with coaxial cables and circular slots using computational resources and polynomial analysis,,,,,
2024,23,4/,Single- and Multi-Stopband Reconfigurable FSS,,,,,
2023,22,1/,Absorb/Transmit Broadband Type Frequency Selective Surface,,,,,
2023,22,1/,Analog Electronic Circuit Synthesis Using Simulated Annealing and Geometric Circuit Evolution,,,,,
2023,22,1/,A Reconfigurable Frequency Selective Surface for Wi-Fi Application,,,,,
2023,22,1/,Notched Circular EBG based Circularly Polarized Antenna for Performance Enhancement,,,,,
2023,22,1/,Characterization of Dielectric Properties of Graphene and Graphite Using the Resonant Cavity in 5G Test Band,,,,,
2023,22,1/,Performance Analysis of a Distributed Optical Fiber Vibration Sensor Based on a Sagnac Interferometer,,,,,
2023,22,1/,Computational Modeling of Magnetic Field Optical Fiber Sensor Considering Temperature Effects,,,,,
2023,22,1/,A Non-Invasive Methodology for Magnetic Characterization of Transformers and Reactors,,,,,
2023,22,1/,Double Negative Metamaterial Based on Moebius Strip,,,,,
2023,22,1/,Coexistence Analysis Between IMT-2020 and AES operating in L Band on a Final Approach,,,,,
2023,22,1/,Features Extraction for Classification in Switching Devices using Fiber Bragg Grating,,,,,
2023,22,1/,Implementation of PoF-powered IoT Sensing Systems for Industry 4.0,,,,,
2023,22,1/,Machine Learning-Based Digital Pre-Distortion Scheme for RoF Systems and Experimental 5G mm-waves Fiber-Wireless Implementation,,,,,
2023,22,1/,Spectral Analysis of a SPR Sensor based on Multilayer Graphene in the Far Infrared Range,,,,,
2023,22,1/,Comparing the Performance of OFDM and OCDM-based Visible Light Communications: Numerical and Experimental Analysis,,,,,
2023,22,1/,Automated Forearm Prosthesis Controlling Using Fiber Bragg Grating Sensor,,,,,
2023,22,1/,A Multi-Plasmonic Approach for Simultaneous Measurements based on a D-Shaped Photonic Crystal Fiber Sensor: from Temperature to Optical Dispersion,,,,,
2023,22,1/,Determining a Perturbation Factor to Design Tunable Resonant Cavities in SIW Technology,,,,,
2023,22,2/,Control of Mutual Coupling in Microstrip Antenna Design Based on Bio-inspired Algorithms,,,,,
2023,22,2/,Adaptive Hybrid Precoding Strategy for Cell-Free Massive MIMO,,,,,
2023,22,2/,A Study of a Silicon Quasi-Periodic Segmented Waveguide,,,,,
2023,22,2/,A New Theoretical Approach of Studying Resonances in Single Finline Transitions,,,,,
2023,22,2/,Theoretical model for the transmittance in a left-handed metamaterial of different geometries,,,,,
2023,22,2/,A Modified Radiopropagation Multipath Model for Constant Refractivity Gradient Profiles,,,,,
2023,22,2/,On the Reconfigurability of a Singly-Layered Dual-Band Reflectarray for Space Applications,,,,,
2023,22,2/,Wide Band Microstrip Patch Antenna with Enhanced Gain using FSS Structure,,,,,
2023,22,3/,Numerical Analysis of Plasmonic Couplers based on Metallic Lens,,,,,
2023,22,3/,Assessment of the Illumination and Communication Performance of a Visible Light System in an Indoor Scenario,,,,,
2023,22,3/,Detection of Eyebolt Faults Using a Random Forest Ensemble Model Based on Multiple High-Frequency Electromagnetic Parameters,,,,,
2023,22,3/,Software-Defined Radio Applied to a Shielding Effectiveness Measurement,,,,,
2023,22,4/,kHz Linewidth Laser Characterization using Low Frequency and Excess Noise Measurements,,,,,
2023,22,4/,Liquid-level Sensor Using Embedded Fiber Bragg Grating in CFRP Diaphragm,,,,,
2023,22,4/,Experimental Evaluation of Through-Wall Detection Using an UWB Radar,,,,,
2022,21,1/,Radiation Efficiency of an Electrically Small Dual-band UHF Microstrip Patch Antenna Using Wheeler Cap Method,,,,,
2022,21,1/,Semi-analytical Equations for Designing Terahertz Graphene Dipole Antennas on Glass Substrate,,,,,
2022,21,1/,Cascade Modeling of the Measuring System Used to Assess S-Parameters of Anchor Rods on Power Transmission Lines Guyed Towers,,,,,
2022,21,1/,Radially Periodic Metasurface Lenses for Magnetic Field Collimation in Resonant Wireless Power Transfer Applications,,,,,
2022,21,1/,Evaluation of the Current in the Cell Membrane for Numerical Simulations of Electroporation,,,,,
2022,21,1/,Bandpass Filter Using SIW Technology in Inductive Window Topology with Low-Cost Substrate FR-4,,,,,
2022,21,1/,MIMO-PLC Communications in an Experimental Medium Voltage Network: Measurement and Analysis,,,,,
2022,21,1/,Series Fed Designs of Planar Circular and Hexagonal Microstrip Antenna Arrays for High Gain and Reduced First Side Lobe Level Radiation,,,,,
2022,21,1/,A High-Selectivity Bandpass Filter Using Dual-Mode Coupling Resonator,,,,,
2022,21,1/,A Low-Cost Smart Surveillance System Applied to Vehicle License Plate Tracking,,,,,
2022,21,1/,Multiphysics Design of High-Power Microwave Vacuum Window,,,,,
2022,21,1/,Phase Adjustment of S-Parameters from Coupled Resonator Filters,,,,,
2022,21,1/,Integrated Antennas on MnM Interposer for the 60 GHz Band,,,,,
2022,21,1/,A 2.4 GHz Coplanar Solar Cell Patch Antenna with a Semi-Analytical Evaluation of Temperature Effects,,,,,
2022,21,2/,Analysis of Wet Antenna Losses on 11.843 GHz Slant Path in Nigeria and Comparison with Some Tropical Climates,,,,,
2022,21,2/,Broadband Antennas Based on the Double Moebius Strip,,,,,
2022,21,2/,A Design of a Compact Microwave Diplexer in Microstrip Technology Based on Bandpass Filters Using Stepped Impedance Resonator,,,,,
2022,21,2/,Variations of Compact Rectangular Microstrip Antennas Using Defected Ground Plane Structure,,,,,
2022,21,2/,A Defected Ground Structure Based on Matryoshka Geometry,,,,,
2022,21,2/,Frequency Reconfigurable Near-Zero Refractive Index Material for Antenna Gain Enhancement Applications,,,,,
2022,21,2/,Estimation and Mapping of the Received Power Level of Digital Signals TV Using Spatial Interpolation Methods,,,,,
2022,21,2/,A Compact Dual-Band Self-Diplexing MIMO Patch Antenna for ISM and X-Band Communications,,,,,
2022,21,2/,Investigate the Effect of Dielectric Properties on Microwave Absorption of Pyramidal Microwave Absorber,,,,,
2022,21,2/,Erratum,,,,,
2022,21,3/,Prospects for Developing Low-Cost Optical Fiber Sensors for Liquid-Liquid Interface Detection,,,,,
2022,21,3/,Design and Implementation of Microwave Dual-Band Pass Interdigital Filter Using an Analytical Approach,,,,,
2022,21,3/,Optimization Techniques and Mathematical Modeling Applied to Reluctance Motors,,,,,
2022,21,3/,Determination of Electric and Magnetic Field Calculation Uncertainty in the Vicinity of Overhead Transmission Lines,,,,,
2022,21,3/,MGF Methods for Fixed and Gain Saturated Optically Preamplified FSO Links Impaired by Misalignments and Atmospheric Turbulence,,,,,
2022,21,3/,A Finite-Difference Time-Domain Formulation for Modeling Air Ionization Breakdown Streamers,,,,,
2022,21,3/,A New Miniaturized Low-Profile and Stable Dual-Band FSS with 2.5D Structure for ISM Bands,,,,,
2022,21,3/,Efficient Low-Complexity Optimized Channel Estimating Methods for OFDM-Based Low-Voltage Broadband Power Line Communication Systems,,,,,
2022,21,4/,Simulation of Current Pulses and Sound Waves Resulting from Partial Discharges in a Needle-Plane Geometry in Air,,,,,
2022,21,4/,Electromagnetic Transients in Multiconductor Transmission Lines,,,,,
2022,21,4/,Equipment for Monitoring Synchronous Generators Condition through External Magnetic Field Waveforms,,,,,
2022,21,4/,Methodology to Generate a Reluctance Network Applied to Permanent Magnet Synchronous Generators,,,,,
2022,21,4/,Design and Simulation of Broadband Horn Nanoantennas for Nanophotonic Applications,,,,,
2022,21,4/,Experimental Loss Segregation in a Solid Rotor Induction Motor,,,,,
2022,21,4/,Microstrip 3-Bit Fractal-based Phase Shifter,,,,,
2022,21,4/,A Wideband and Wide Axial Ratio Bandwidth Circularly Polarized Antenna Loaded with Circular Ring Slot,,,,,
2022,21,4/,A High-Gain Hemispherical Dielectric Lens Antenna Operating Simultaneously in Narrowband or Wideband for X-band Applications,,,,,
2022,21,4/,Single Port Multimode Reconfigurable UWB-NB Antenna for Cognitive Radio Applications,,,,,
2021,20,1/,Deduction of Electric Field Module in a Multilayer of Isotropic Materials to Detect Surface Plasmons with a Graphical User Interface,,,,,
2021,20,1/,Analysis of the Resonator Element in Different Positions in the Circular Patch Microstrip Antenna,,,,,
2021,20,1/,FD MAC Protocol Design for Co-Existing WLANs in 5G Cellular Networks,,,,,
2021,20,1/,Omni-Directional Wideband Antenna Array with Solar Cells,,,,,
2021,20,1/,Mathematical Analysis and Improvement of the Maximum Spatial Eigenfilter for Direction of Arrival Estimation,,,,,
2021,20,1/,Damped Jacobi Methods Based on Two Different Matrices for Signal Detection in Massive MIMO Uplink,,,,,
2021,20,1/,Bandwidth Enhancement of Microstrip Patch Antenna Using Metasurface,,,,,
2021,20,1/,Passively Q-Switched Pulses Generation from Erbium-Doped Fiber Laser Using Lutetium Oxide as Saturable Absorber,,,,,
2021,20,1/,Non-Ionizing Radiation Analysis in Close Proximity to Antenna Tower: A Case Study in Northeast Brazil,,,,,
2021,20,1/,IEEE 802.11b/g Practical Assessment Using a Low-Cost Quasi-Yagi Rectenna for Indoor RF Energy Harvesting,,,,,
2021,20,1/,Characterization of Otto Chips by Particle Swarm Optimization,,,,,
2021,20,1/,Low-Overhead Low-Complexity Carrier Phase Recovery Technique for Coherent Multi-Band OFDM-Based Superchannel Systems Enabled by Optical Frequency Combs,,,,,
2021,20,1/,A Parametric Study of Inductive SWIPT Systems Assisted by Metamaterial Using Virtual Magnetic TL-Based Channel Modeling,,,,,
2021,20,1/,Comparison Between Three- and Four-coil Wireless Power Transfer Systems with Resonant Coils,,,,,
2021,20,2/,Wavelength-Selective Near Unity Absorber Based on Fabry-Pérot Nanoresonators,,,,,
2021,20,2/,Assessment of Total Attenuation and Adaptive Scheme for Quality of Service Enhancement in Tropical Weather for Satellite Networks and 5G Applications in Nigeria,,,,,
2021,20,2/,A High Gain Super Wideband Metamaterial Based Antenna,,,,,
2021,20,2/,Design and Performance Study of Single and Multi-Layered Fractal Based Miniaturized Patch Antennas for 2.4 GHz Applications,,,,,
2021,20,2/,"Compact, Broadband, and Omnidirectional Antenna Array for Millimeter-Wave Communication Systems",,,,,
2021,20,2/,Lightning Protection Design for Small Riverboats Using the FDTD Method,,,,,
2021,20,2/,Compact Triple Band Notched Pentagonal Shaped UWB Antenna Loaded with Slots and Parasitic Resonator,,,,,
2021,20,2/,Novel Design of a Hybrid Superconducting Fault Current Limiter with Controlled Solid-State Device,,,,,
2021,20,2/,YIG Matrix Based Multiband Magneto-Dielectric Cylindrical Resonator Antenna,,,,,
2021,20,2/,On the Use of UTD-Based Models for RF Path Loss Prediction Due to Diffraction on a Forest-Covered Ridge,,,,,
2021,20,2/,Short Circuit and Recovery Time Tests in a helical bifilar R-SFCL module,,,,,
2021,20,2/,Utilizing the Shift-or-Shrink Algorithm to Optimize the Direct Coupling from Laser Diodes to Diffused Channel Waveguides,,,,,
2021,20,2/,Analysis Tool for Passive Optical Access Network,,,,,
2021,20,2/,C-Band Monopulse Planar Array and Feeding Network,,,,,
2021,20,2/,Meshless Methods for Computation of Overhead Transmission Lines Electromagnetic Fields,,,,,
2021,20,2/,Proposed Technique of Analysis for Absorber/Transmitter Frequency Selective Surfaces,,,,,
2021,20,3/,Adjusting Large-Scale Propagation Models for the Amazon Region Using Bioinspired Algorithms at 1.8 and 2.6 GHz Frequencies,,,,,
2021,20,3/,Recovering Suppressed Resonance Frequency by Bias Lines in Reconfigurable FSS,,,,,
2021,20,3/,Circular Waveguide Polarizer for Weather Radars and Satellite Information Systems,,,,,
2021,20,3/,SIW Based Cavity Backed Self-Quadplexing Slot Antenna,,,,,
2021,20,3/,A LiDAR Architecture Based on Indirect ToF For Autonomous Cars,,,,,
2021,20,3/,Corrosion Sensor Using Metallic Double Layer in Optical Fiber,,,,,
2021,20,3/,Entire-Domain Basis Function with Segmented Edge Condition Applied for Scattering Structures,,,,,
2021,20,3/,SDR-Based Spectrum Analyzer Based in Open-Source GNU Radio,,,,,
2021,20,3/,Angle of Incidence and Polarization Insensitive Ultra-Thin Ultra Wide-Band Metamaterial Absorber based on Novel Non-Linearity in Unit Cell Design,,,,,
2021,20,3/,"Tri-Band, Stable and Compact Patch Frequency Selective Surface Optimized via Hybrid Bioinspired Computing for Applications at 2.4, 3.5 and 5.8 GHz",,,,,
